人,http://pic.guoxuemi.com//zixyb/1/A00068i001.png,人;久;刁;入,0,1
力,http://pic.guoxuemi.com//zixyb/1/A00379i001.png,九;力;义;刀,1,1
十,http://pic.guoxuemi.com//zixyb/1/A00429i001.png,个;什;十;干,2,1
又,http://pic.guoxuemi.com//zixyb/1/A00468i001.png,义;以;入;又,3,1
二,http://pic.guoxuemi.com//zixyb/1/A00049i001.png,二;工;亖;三,0,1
大,http://pic.guoxuemi.com//zixyb/1/A00848i001.png,人;大;太;犬,1,1
子,http://pic.guoxuemi.com//zixyb/1/A00982i001.png,早;于;子;呆,2,1
于,http://pic.guoxuemi.com//zixyb/1/A00050i001.png,官;田;干;于,3,1
之,http://pic.guoxuemi.com//zixyb/1/A00029i001.png,之;止;乏;业,0,1
小,http://pic.guoxuemi.com//zixyb/1/A01068i001.png,水;小;山;少,1,1
与,http://pic.guoxuemi.com//zixyb/2/A03398j001.png,首;瘦;与;兽,2,1
工,http://pic.guoxuemi.com//zixyb/1/A01148i001.png,卫;古;互;工,3,1
三,http://pic.guoxuemi.com//zixyb/1/A00004i001.png,三;二;王;亖,0,1
己,http://pic.guoxuemi.com//zixyb/1/A01154i001.png,乙;己;已;尺,1,1
及,http://pic.guoxuemi.com//zixyb/1/A00471i001.png,乃;父;及;文,2,1
不,http://pic.guoxuemi.com//zixyb/1/A00010i001.png,吊;示;爪;不,3,1
中,http://pic.guoxuemi.com//zixyb/1/A00020i001.png,中;兔;免;央,0,1
方,http://pic.guoxuemi.com//zixyb/1/A01759i001.png,岁;方;山;头,1,1
天,http://pic.guoxuemi.com//zixyb/1/A00849i001.png,呆;英;天;吴,2,2
分,http://pic.guoxuemi.com//zixyb/1/A00331i001.png,从;川;火;分,3,2
心,http://pic.guoxuemi.com//zixyb/1/A01305i001.png,心;凶;印;火,0,2
从,http://pic.guoxuemi.com//zixyb/1/A01293i001.png,比;从;入;训,1,2
日,http://pic.guoxuemi.com//zixyb/1/A01771i001.png,月;曰;日;口,2,2
公,http://pic.guoxuemi.com//zixyb/1/A00288i001.png,囧;囚;同;公,3,2
文,http://pic.guoxuemi.com//zixyb/1/A01743i001.png,文;交;父;支,0,2
月,http://pic.guoxuemi.com//zixyb/1/A01841i001.png,日;月;凡;汨,1,2
化,http://pic.guoxuemi.com//zixyb/1/A00415i001.png,从;此;化;亿,2,2
比,http://pic.guoxuemi.com//zixyb/1/A02102i001.png,北;此;它;比,3,2
出,http://pic.guoxuemi.com//zixyb/1/A00325i001.png,出;山;世;廿,0,2
可,http://pic.guoxuemi.com//zixyb/1/A00481i001.png,何;可;旬;呵,1,2
生,http://pic.guoxuemi.com//zixyb/1/A02623i001.png,主;尘;生;火,2,2
用,http://pic.guoxuemi.com//zixyb/1/A02627i001.png,拥;甩;角;用,3,2
去,http://pic.guoxuemi.com//zixyb/1/A00466i001.png,去;高;商;尚,0,2
它,http://pic.guoxuemi.com//zixyb/1/A01005i001.png,宠;它;虫;厄,1,3
民,http://pic.guoxuemi.com//zixyb/1/A02109i001.png,军;尼;民;罕,2,3
正,http://pic.guoxuemi.com//zixyb/1/A02067i001.png,民;呈;歪;正,3,3
外,http://pic.guoxuemi.com//zixyb/1/A00840i001.png,外;半;义;艾,0,3
立,http://pic.guoxuemi.com//zixyb/1/A02977i001.png,工;立;主;应,1,3
在,http://pic.guoxuemi.com//zixyb/1/A00743i001.png,平;来;在;伞,2,3
有,http://pic.guoxuemi.com//zixyb/1/A01842i001.png,风;义;文;有,3,3
而,http://pic.guoxuemi.com//zixyb/1/A03255i001.png,而;川;面;雨,0,3
自,http://pic.guoxuemi.com//zixyb/1/A03386i001.png,百;自;臼;白,1,3
后,http://pic.guoxuemi.com//zixyb/1/A00511i001.png,但;侍;后;伯,2,3
行,http://pic.guoxuemi.com//zixyb/1/A03699i001.png,仃;十;竹;行,3,3
成,http://pic.guoxuemi.com//zixyb/1/A01471i001.png,成;卫;中;行,0,3
多,http://pic.guoxuemi.com//zixyb/1/A00842i001.png,名;多;梦;岁,1,3
如,http://pic.guoxuemi.com//zixyb/1/A00885i001.png,烛;浊;如;映,2,3
同,http://pic.guoxuemi.com//zixyb/1/A00501i001.png,昔;昌;冒;同,3,3
好,http://pic.guoxuemi.com//zixyb/1/A00883i001.png,好;浊;烛;蚀,0,3
因,http://pic.guoxuemi.com//zixyb/1/A00726i001.png,困;因;固;国,1,4
此,http://pic.guoxuemi.com//zixyb/1/A02068i001.png,可;打;此;行,2,4
向,http://pic.guoxuemi.com//zixyb/1/A00507i001.png,问;句;旬;向,3,4
西,http://pic.guoxuemi.com//zixyb/1/A03762i001.png,西;两;苗;苜,0,4
合,http://pic.guoxuemi.com//zixyb/1/A00509i001.png,含;合;分;公,1,4
回,http://pic.guoxuemi.com//zixyb/1/A00727i001.png,己;巳;回;老,2,4
老,http://pic.guoxuemi.com//zixyb/1/A03251i001.png,孝;考;亭;老,3,4
次,http://pic.guoxuemi.com//zixyb/1/A02053i001.png,次;生;丢;子,0,4
任,http://pic.guoxuemi.com//zixyb/1/A00099i001.png,红;任;仕;工,1,4
先,http://pic.guoxuemi.com//zixyb/1/A00271i001.png,异;界;先;老,2,4
我,http://pic.guoxuemi.com//zixyb/1/A01473i001.png,伐;功;弓;我,3,4
作,http://pic.guoxuemi.com//ziyanbian/673.gif,作;乍;出;去,0,4
没,http://pic.guoxuemi.com//zixyb/2/A02151j001.png,爽;没;风;料,1,4
利,http://pic.guoxuemi.com//zixyb/1/A00341i001.png,刮;刚;利;刊,2,4
身,http://pic.guoxuemi.com//zixyb/1/A04056i001.png,对;可;人;身,3,4
事,http://pic.guoxuemi.com//zixyb/1/A00048i001.png,事;安;曾;罗,0,5
定,http://pic.guoxuemi.com//zixyb/1/A01014i001.png,没;定;安;合,1,5
者,http://pic.guoxuemi.com//zixyb/1/A03253i001.png,煮;笋;者;稻,2,5
使,http://pic.guoxuemi.com//ziyanbian/711.gif,芬;带;劳;使,3,5
或,http://pic.guoxuemi.com//zixyb/1/A01474i001.png,或;可;河;何,0,5
制,http://pic.guoxuemi.com//zixyb/1/A00350i001.png,什;制;你;订,1,5
果,http://pic.guoxuemi.com//zixyb/1/A01876i001.png,火;木;果;尘,2,5
面,http://pic.guoxuemi.com//zixyb/1/A04506i001.png,回;茴;雨;面,3,5
重,http://pic.guoxuemi.com//zixyb/1/A04257i001.png,重;束;僧;傅,0,5
政,http://pic.guoxuemi.com//zixyb/1/A01720i001.png,卧;政;频;龙,1,5
美,http://pic.guoxuemi.com//zixyb/1/A03218i001.png,关;类;美;姜,2,5
相,http://pic.guoxuemi.com//zixyb/1/A02762i001.png,柏;桓;柑;相,3,5
度,http://pic.guoxuemi.com//zixyb/1/A01210i001.png,度;岁;多;梦,0,5
新,http://pic.guoxuemi.com//zixyb/1/A01757i001.png,祈;新;薪;敦,1,5
道,http://pic.guoxuemi.com//zixyb/1/A04159i001.png,迹;逼;道;追,2,5
得,http://pic.guoxuemi.com//zixyb/1/A01291i001.png,很;悍;碍;得,3,5
家,http://pic.guoxuemi.com//zixyb/1/A01026i001.png,家;冢;禽;寝,0,5
高,http://pic.guoxuemi.com//zixyb/1/A04667i001.png,离;高;嵩;禹,1,5
通,http://pic.guoxuemi.com//zixyb/1/A04138i001.png,逼;洲;通;孙,2,5
